1	1	Адрес ( обычный )	AFA	Johnson Controls Autobatterie GmbH	Am Leineufer 51			D	30419			Hannover		+49 511 975 01			
2	1	Адрес ( обычный )	ALLMAKES		208, Rue Louis Armand			F	78955			Carrières Sous Poissy		01 39 70 51 47	01 39 70 51 15	www.allmakes.fr	christophe@allmakes-france.com
3	1	Адрес ( обычный )	Ashuki (Branche Europe)		Heemstraweg 123c			NL	6651 KH			Druten		(+31)487588823	(+31)487515837	www.ashuki.eu	info@ashuki.eu
4	1	Адрес ( обычный )	Berga	Johnson Controls Autobatterie GmbH	Gerwigstrasse 4			D	76437			Rastatt		07222156540	07222 156545		
5	1	Адрес ( обычный )	Robert Bosch GmbH	Automotive Aftermarket	Auf der Breit 4		41 09 60	D	76227	76225	76209	Karlsruhe				www.bosch-automotive.com	
6	1	Адрес ( обычный )	EXIDE Technologies Transportation		ul.Gdynska 31/33			PL	61-016			Poznan		(061) 87 86 105	(061) 87 86 369	www.exide.pl	
7	1	Адрес ( обычный )	COMLINE Auto Parts Ltd.		Comline Auto Parts, Sundon Park Road	Unit B1, Luton Enterprise Park			LU3 3GU			Luton	Bedfordshire	(44) 01582 578888	(44) 01582 578889	comline.uk.com	mail@comline.uk.com
8	1	Адрес ( обычный )	EXIDE Technologies Transportation		im Thiergarten			D	63654			Budingen		+49 (0)60 42/81 371		www.exide.de	automotive@exide.de
9	1	Адрес ( обычный )	DYNAMAX		Aleksince 231			SK	95122			Aleksince	Slovak Republic			www.dynamaxoil.com	dynamax@eurovat.sk
10	1	Адрес ( обычный )	Energizer					D									
11	1	Адрес ( обычный )	EXIDE	EXIDE Technologies SAS	5 allee des Pierres Mayettes			F	92636		750	Gennevilliers		+33 1 4121 2300		www.exide.com	
12	1	Адрес ( обычный )	EXIDE Technologies SAS		5 ALLEE DES PIERRES MAYETTES			F	92636	00092636		Gennevilliers		+33 1 41 21 2300		www.fulmen-evolution.com/fr/menu.html	
13	1	Адрес ( обычный )	YUASA BATTERY SALES (UK) LTD		Unit 13, Hunts Rise	South Marston Industrial Park			SN3 4TG			Swindon	Wiltshire	08708 500 257		www.gs-battery.com	enquiries@gs-battery.com
14	1	Адрес ( обычный )	HELLA	HELLA GmbH & Co. KGaA	Rixbecker Str.75		2840	D	59552	00000000	00000000	Lippstadt		+49 2941 / 38 - 0	+49 2941 / 38 - 6766	http://www.hella.com	info@hella.com
15	1	Адрес ( обычный )	IPSA-Autoteile Großhandelsgesellschaft		Erfurter Hoehe			D	99610			Soemmerda		0049 3634 31860	0049 3634 33429	www.ipsa-autoteile.de	info@ipsa-autoteile.de
16	1	Адрес ( обычный )	JP Group A/S		Hjulmagervej 2			DK	8800			Viborg					
17	1	Адрес ( обычный )	MAGNETI MARELLI	AFTER MARKET PARTS AND SERVICES S.P.A.	Viale Aldo Borletti 61/63			V	20011			Corbetta (Milano)	Italy	(39) 02 97227 149	(39) 02 97227 755	www.magnetimarelli-checkstar.it	david.tostadoalonso@magnetimarelli.com
18	1	Адрес ( обычный )	MAPCO		Moosweg 1	Gewerbegebiet		D	14822			Borkheide		03 38 45 - 600 30	03 38 45 - 410 32	www.mapco.com	info@mapco.com
19	1	Адрес ( обычный )	Master-Sport Automobiltechnik (MS) GmbH		Leopoldstr. 244			D	80807			München		+49 89 43759523	+49 89 43759900	http://www.master-sport.de	sekretariat@master-sport.de
20	1	Адрес ( обычный )	MAXGEAR Sp z o.o. sp.k.		Ekonomiczna 20			PL	43-150			Bieruń		+48 (0) 32 325 15 34	+48 (0) 32 325 15 19	www.maxgear.pl	office@maxgear.pl
21	1	Адрес ( обычный )	Motaquip Limited		Eliot Park Innovation Centre	4 Barling Way			CV10 7RH			Nuneaton	Warwickshire	+44 (0) 2477 714777	+44 (0) 2477 714778	www.motaquip.com	customerservice@motaquip.com
22	1	Адрес ( обычный )	NIPPON PIECES SERVICES		170 rue de la voyette	CRT 2		F	59273			Fretin		+33(0)320622800		www.nippon-pieces.com	contact@nippon-pieces.com
23	1	Адрес ( обычный )	Omnicraft		16800 Executive Plaza Drive				48126			Dearborn	MI	313-248-1861		www.ford.com	lfolino@ford.com
24	1	Адрес ( обычный )	OPEN PARTS	EXO Automotive S.p.A.	San Marco 11c int.69			I	35129			Padova		+39 049 7449970	+39 049 7449971	www.exoautomotive.com	info@exoautomotive.it
25	1	Адрес ( обычный )	PLATINUM	Platinum International Limited	Bailey Road / Trafford Park			GB	M17 1SA			Manchester		08452233069	08450638888	www.platinuminternational.com	
26	1	Адрес ( обычный )	QUINTON HAZELL	Tetrosyl Group Ltd	Newgate House	Rochdale		GB	OL16 1AT			Lancashire		+44 (0) 161 762 6789		www.tetrosylexpress.com	csteam@tetrosyl.com
27	1	Адрес ( обычный )	Johnson Controls Autobatterie S.P.A.		Via Cefalonia n. 49			I	25124			Brescia				www.safa-batteries.com	info@safa-batteries.com
28	1	Адрес ( обычный )	Inter-Team Sp. z o.o.		ul.Bia³o³êcka 233			PL	03-253			Warszawa		+48 22 506 06 10	+48 22 741 69 11	http://www.inter-team.com.pl	poczta@inter-team.com.pl
